\Created 2024-11-20 14:20:30
|  ID|             CLUMP|       RA|        DEC|     GLON|         GLAT|   F_PEAK|               S_N|    FWHM_X|    FWHM_Y| FWHM_max_FWHM_min|         FWHM_circ|         Bmaj_Bmin|         BEAM_circ|          PA|        F_INT|           RMS_map|          CLUMP_ID| N_FRAG|  DIST|  Lclump| Mclump|Tclump| Surfd| Tcore|             Mcore|             Dcore|         BEAM_size|   Dcore_BEAM_size|     Lclump_Mclump|EVOL_FLAG| Dclump|Subsample|GAUSS_FLAG|         Dcore_min|         Dcore_max|              Bmaj|              Bmin|              BPA| Back_onpeak|ID_ord|       F_PEAK_jybm|       Back_onpeak_jybm|             Rcore|        Surfd_core|        n_H2|            AG_ID|               ORIG_ID|RADIO_INFO|RADIO_MATCH|Surfd_nd|VLSR_clump|
|long|              char|   double|     double|   double|       double|   double|            double|    double|    double|            double|            double|            double|            double|      double|       double|            double|              char|   long|double|  double| double|double|double|double|            double|            double|            double|            double|            double|   double| double|     char|      long|            double|            double|            double|            double|           double|      double|  long|            double|                 double|            double|            double|      double|             char|                  char|      long|       long|  double|    double|
| deg|               deg|      deg|        deg| MJy / sr|       arcsec|   arcsec|            arcsec|    arcsec|       deg|                Jy|          MJy / sr|               kpc|            solLum|     solMass|            K|           g / cm2|                 K|solMass|    AU|      AU|     pc|    AU|    AU|arcsec|            arcsec|               deg|          MJy / sr|             Jy/bm|             Jy/bm|       AU|g / cm2|  1 / cm3|   g / cm2|            km / s|                  |                  |                  |                 |            |      |                  |                       |                  |                  |            |                 |                      |          |           |        |          |
|null|              null|     null|       null|     null|         null|     null|              null|      null|      null|              null|              null|              null|              null|        null|         null|              null|              null|   null|  null|    null|   null|  null|  null|  null|              null|              null|              null|              null|              null|     null|   null|     null|      null|              null|              null|              null|              null|             null|        null|  null|              null|                   null|              null|              null|        null|             null|                  null|      null|       null|    null|      null|
    1             101073 278.62494  -9.1396472 22.875728   -0.43242621 127.49767   32.1502155438889  2.2490151  1.8161048 1.2383729727491497 2.0210015137011847  1.410737402831279 1.3371985055245124   -272.41547   0.013878809 3.9656863210123863             101073       1   4.53     99.4   969.7   10.4   1.77   20.0  6.739113847960894  9155.136857066367  6057.509230026041 1.5113698567203024 0.1025059296689697       1.0    0.39      near          1        8226.954744       10188.038403   1.58825039863572    1.1258299350738   -89.69396972656    12.138151      1 0.0060716701111978      0.0005780407487596  4577.568428533184 0.9148503084906332    3190000.0 AG022.8765-0.4316  HIGALBM22.8767-0.4314          1           0     0.86       76.7 
    1             101377 278.56909  -9.0495694 22.930269   -0.34197945 26.384327  8.105615397006996   2.123665  1.1530948  1.841708938415124  1.564860079509347 1.4071061822571267 1.3242448287596331    21.041081   0.001721923 3.2550677163565434             101377       1   4.01    162.9   999.5   11.1   0.87   20.0  0.655174011932136  6275.088918832482  5310.221763326129 1.1816999738447826 0.1629814907453727       1.0    0.55      near          1        4623.910148  8515.896649999999   1.57083916664124   1.11636149883264    -89.5308303833    13.703591      1 0.0012322440964311      0.0006400075738015  3137.544459416241 0.1893188340966637     963000.0 AG022.9296-0.3401  HIGALBM22.9298-0.3411          1           0     0.63       64.1 
    1             101899 278.66597  -9.0129528 23.006848   -0.41003281   150.199  16.34521643596921  1.9046141  1.4225605 1.3388633383255055  1.646034260397714 1.3985942536359226 1.3894702787582964   -22.313481   0.010845797  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0  1.416070204119418  7571.757597829484 6391.5632822881635 1.1846487726737822 148.03342976534873       2.0    0.17      near          1          6543.7783         8761.22486 1.6432178020477202   1.17490673065176    89.85223388672    29.682388      1 0.0077228876728482      0.0015262002302671  3785.878798914742 0.2810401107938458    1180000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    2             101899 278.66786  -9.0106194 23.009779   -0.41061505 2397.1855  260.8706837906182  2.2498962  1.6796749 1.3394831345041829 1.9439892424458989 1.3985942536359226 1.3894702787582964   -133.55307    0.24143824  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0 31.523132675176672  8942.350515251135 6391.5632822881635  1.399086595924275 148.03342976534873       2.0    0.17      near          1         7726.50454        10349.52252 1.6432178020477202   1.17490673065176    89.85223388672    259.57918      2 0.1232577736701348      0.0133469653549628  4471.175257625568  4.485417974694844   16000000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    3             101899 278.66981  -9.0099778 23.011235   -0.41202908 93.296807 10.152907164494088     1.7066  1.8962433 1.1111234618539787 1.7989243496545373 1.3985942536359226 1.3894702787582964    76.316461   0.008046542  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0 1.0505883866713963  8275.052008410872 6391.5632822881635 1.2946835762922189 148.03342976534873       2.0    0.17      near          1            7850.36         8722.71918 1.6432178020477202   1.17490673065176    89.85223388672    7.7376955      3 0.0047971075752595      0.0003978545342725  4137.526004205436 0.1745693757999267     673000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    6             101899 278.66833  -9.0080528 23.012271   -0.40984502 123.97243 13.491143086458914   1.477064  1.7623589  1.193149992146583 1.6134177655739383 1.3985942536359226 1.3894702787582964    10.900544  0.0086007331  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0 1.1229457712046094  7421.721721640117 6391.5632822881635  1.161174722654574 148.03342976534873       2.0    0.17      near          1          6794.4944  8106.850939999999 1.6432178020477202   1.17490673065176    89.85223388672    77.578629      4 0.0063743776684268      0.0039889149566945 3710.8608608200584 0.2319670921981791     997000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    7             101899 278.66762  -9.0060694 23.013708   -0.40830911 102.72937 11.179393917274831  2.5788362  1.7956059   1.43619276367938  2.151876738071579 1.3985942536359226 1.3894702787582964   -55.718591   0.012677864  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0 1.6552721263617811  9898.632995129265 6391.5632822881635 1.5487029632577742 148.03342976534873       2.0    0.17      near          1         8259.78714        11862.64652 1.6432178020477202   1.17490673065176    89.85223388672    44.881124      5 0.0052821083043992      0.0023076843340047  4949.316497564632 0.1922188099333905     620000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    4             101899 278.66685  -9.0096278 23.010199   -0.40927292 110.02582  11.97342087127737  3.2179455  1.3073735  2.461381923375378 2.0511110821075125 1.3985942536359226 1.3894702787582964    29.198054   0.012336435  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0 1.6106938041119463  9435.110977694558 6391.5632822881635  1.476182048269858 148.03342976534873       2.0    0.17      near          2          6013.9181         14802.5493 1.6432178020477202   1.17490673065176    89.85223388672    66.564247      6 0.0056572750083091      0.0034225807269604  4717.555488847279 0.2058713392497525     696000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    5             101899 278.66762  -9.0091611 23.010964   -0.40973301 180.85397  19.68120482129896  3.8146499  1.8418223 2.0711280887412427 2.6506427998719047 1.3985942536359226 1.3894702787582964    98.588349   0.033864693  9.189171681414557             101899       7    4.6  92106.4   622.2   36.3   6.02   63.0  4.421508417403667 12192.956879410762 6391.5632822881635 1.9076642662991383 148.03342976534873       2.0    0.17      near          2         8472.38258        17547.38954 1.6432178020477202   1.17490673065176    89.85223388672    71.753491      7 0.0092990958361817      0.0036893997372001  6096.478439705381 0.3383991843247744     886000.0 AG023.0108-0.4102  HIGALBM23.0098-0.4104          1           0     0.89       77.8 
    1             102460 278.68908  -8.9306028  23.09046   -0.39236993 93.133693 24.679466669062972  2.7177946  2.1087549  1.288814835711822 2.3939846866560237  1.394219533013757 1.3352356881101446    72.367232   0.014225458  3.773731995462773             102460       2   4.61   1108.4   867.4   14.0    1.8   35.0  3.621954430544831 11036.269405484269  6155.436522187767  1.792930422676466 1.2778418261471065       2.0    0.35      near          2        9721.360089       12529.033106   1.57660722732528 1.1308170557023198   -88.79654693604    35.474544      1 0.0044221843313209      0.0016844062291995  5518.134702742134 0.3383571219921185     978000.0 AG023.0902-0.3916  HIGALBM23.0898-0.3926          1           0      0.8       78.8 
    2             102460 278.68866  -8.9298444 23.090942   -0.39165238 40.809576 10.814116118756209    1.41358  1.6557108 1.1712890674740728 1.5298626319588309  1.394219533013757 1.3352356881101446   -17.461638  0.0025455618  3.773731995462773             102460       2   4.61   1108.4   867.4   14.0    1.8   35.0 0.6481273811877043  7052.666733330209  6155.436522187767 1.1457622392674027 1.2778418261471065       2.0    0.35      near          2          6516.6038        7632.826788   1.57660722732528 1.1308170557023198   -88.79654693604    21.113677      2  0.001937724809807      0.0010025219509546 3526.3333666651047 0.1482622450788318     671000.0 AG023.0902-0.3916  HIGALBM23.0898-0.3926          1           0      0.8       78.8 
